id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
900,Tonu_old,False,2007-10-09T19:33:13+00:00,taiko,['mouse'],2,0,0,0.0,,1,130,,,74.5763,75,2
904,Donryu,False,2007-10-09T22:55:55+00:00,osu,,3,0,0,0.0,,112,14560,,,91.3545,0,0
906,16bit_old,False,2007-10-09T23:02:18+00:00,osu,,0,0,0,0.0,,50,6500,,,83.4787,0,0
909,Azimuth_old,False,2007-10-09T23:34:20+00:00,osu,,1,0,0,0.0,,50,6500,,,77.8741,0,0
912,VGJunky,False,2007-10-10T00:27:27+00:00,osu,,1,0,0,0,,0,0,,,70.8746,0,0
914,Stu L Tissimus,False,2007-10-10T01:22:04+00:00,osu,,1,0,0,0,,66,8580,,,79.1578,0,0
926,Reizoku_old,False,2007-10-11T07:26:49+00:00,osu,,4,0,0,0,,131,17030,,,79.8868,0,0
927,ZuMpAwAyZii,False,2007-10-11T08:33:55+00:00,osu,,0,0,0,0,,17,2210,,,49.4949,0,0
929,White_old,False,2007-10-11T10:03:04+00:00,osu,,26,0,0,0,,1457,189410,,,91.4056,0,0
932,Kazearashi_old,False,2007-10-11T18:02:54+00:00,osu,,15,0,0,0,,578,75140,,,91.6056,0,0
946,GuardianHX,False,2007-10-12T22:22:20+00:00,osu,,22,0,0,0,,328,37564,,,93.0697,682,23
948,Agent Thunderhawk,False,2007-10-12T23:48:22+00:00,osu,,2,0,0,0,,81,10530,,,87.5706,0,0
950,Kyon_old,False,2007-10-13T01:36:16+00:00,osu,,0,0,0,0,,35,4550,,,65.3273,0,0
951,MegaManEXE,False,2007-10-13T02:10:38+00:00,osu,"['mouse', 'keyboard', 'tablet', 'touch']",958,3,0,0,,34461,2948985,,,98.93,2184,100
954,Odie_old,False,2007-10-13T09:27:04+00:00,osu,,9,0,0,0,,388,50440,,,90.3703,0,24
956,Karsh_old,False,2007-10-13T15:04:15+00:00,osu,"['mouse', 'keyboard']",0,0,0,0,,132,17160,,,87.2329,0,0
957,himshunchung,False,2007-10-13T15:25:50+00:00,osu,,3,0,0,0,,228,18740,,,89.1494,395,18
958,ebaproman,False,2007-10-13T16:16:23+00:00,osu,,3,0,0,0,,200,26000,,,70.838,0,0
962,Eagle1101,False,2007-10-13T21:26:23+00:00,osu,,5,0,0,0,,386,50180,,,80.0467,0,0
966,anzo_old,False,2007-10-14T04:55:15+00:00,osu,,4,0,0,0,,148,19140,,,83.7004,113,17
